DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2014
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"351700 Getulina";-;-;-;2;3;3;-;-;-;-;-;-;1;9
"351710 Glicério";-;-;-;1;3;8;1;-;-;-;-;1;-;14
"351720 Guaiçara";-;-;1;2;17;19;5;-;1;-;-;-;-;45
"351740 Guaíra";-;-;-;1;3;23;8;6;1;3;-;1;-;46
"351750 Guapiaçu";-;-;-;-;1;-;2;-;-;-;-;1;1;5
"351780 Guaraçaí";-;2;8;2;2;7;2;-;-;-;1;-;-;24
"351800 Guarani d'Oeste";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"351810 Guarantã";-;-;-;2;14;31;1;-;-;-;-;-;-;48
"351820 Guararapes";-;7;8;21;56;81;32;21;18;12;6;31;166;459
"351830 Guararema";-;-;1;-;9;10;2;-;-;-;-;1;-;23
"351840 Guaratinguetá";-;2;1;6;21;23;18;11;1;4;1;1;-;89
"351860 Guariba";-;-;-;-;-;1;-;-;-;1;-;2;1;5
"351870 Guarujá";-;24;23;36;103;50;12;14;-;2;4;4;14;286
"351880 Guarulhos";-;15;65;543;2219;1841;420;77;13;14;12;15;20;5254
"351885 Guatapará";-;-;-;-;-;1;-;-;-;-;-;-;1;2
"351890 Guzolândia";-;-;-;-;-;3;1;3;-;-;-;-;-;7
"351900 Herculândia";-;-;1;-;-;2;1;1;-;-;-;-;-;5
"351905 Holambra";-;-;-;9;17;12;6;1;-;-;-;-;-;45
"351907 Hortolândia";-;22;118;565;606;555;152;34;27;6;15;5;13;2118
"351910 Iacanga";-;-;-;-;-;2;10;7;-;-;2;-;-;21
"351920 Iacri";-;-;-;-;-;1;-;1;-;-;1;-;-;3
"351925 Iaras";-;-;-;2;20;20;1;-;-;-;-;-;-;43
"351930 Ibaté";-;-;-;1;5;5;-;-;-;-;-;-;1;12
"351940 Ibirá";-;-;-;-;-;3;1;-;-;-;-;-;-;4
"351960 Ibitinga";-;-;3;-;7;3;1;2;-;1;-;-;-;17
"351970 Ibiúna";-;-;1;3;3;-;-;-;-;-;-;-;-;7
"351980 Icém";-;-;-;-;-;-;1;-;-;-;-;-;1;2
"351990 Iepê";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"352000 Igaraçu do Tietê";-;-;-;-;3;3;-;-;-;-;-;-;-;6
"352010 Igarapava";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"352020 Igaratá";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"352030 Iguape";-;-;3;-;-;3;1;3;-;-;-;-;-;10
"352042 Ilha Comprida";-;-;1;3;10;18;-;-;-;1;-;1;-;34
"352044 Ilha Solteira";-;9;65;61;59;41;12;9;5;1;8;14;44;328
"352040 Ilhabela";-;3;36;297;1413;1015;134;24;9;9;5;4;13;2962
"352050 Indaiatuba";-;3;10;28;114;71;30;2;-;3;3;1;2;267
"352070 Indiaporã";-;-;-;-;1;1;5;-;-;-;-;-;-;7
"352090 Ipaussu";-;-;-;-;-;2;1;-;-;-;-;-;-;3
"352100 Iperó";-;6;-;6;24;47;9;9;13;20;20;47;151;352
"352110 Ipeúna";-;-;-;-;-;1;1;-;-;-;-;1;-;3
"352115 Ipiguá";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"352130 Ipuã";-;-;-;-;9;4;1;-;-;-;-;-;-;14
"352140 Iracemápolis";-;-;-;1;18;7;1;-;-;-;-;-;1;28
"352150 Irapuã";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"352160 Irapuru";-;-;1;1;20;10;1;5;1;-;-;-;-;39
"352170 Itaberá";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"352190 Itajobi";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"352200 Itaju";-;-;-;-;1;2;1;-;-;-;-;-;-;4
"352210 Itanhaém";-;5;3;23;48;46;37;10;2;1;2;1;3;181
"352220 Itapecerica da Serra";-;-;-;7;31;13;3;-;1;1;-;-;-;56
"352230 Itapetininga";-;-;-;1;2;4;1;-;-;-;-;-;-;8
"352240 Itapeva";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"352250 Itapevi";-;6;9;66;207;81;14;4;-;-;1;1;2;391
"352260 Itapira";-;20;1;8;26;27;12;5;6;16;63;158;352;694
"352270 Itápolis";-;-;4;13;26;56;6;14;3;-;-;-;2;124
"352280 Itaporanga";-;-;2;15;42;42;6;-;-;-;-;-;-;107
"352290 Itapuí";-;-;-;83;32;7;2;1;-;1;-;-;-;126
"352300 Itapura";-;1;3;1;5;7;2;2;-;-;1;-;1;23
"352310 Itaquaquecetuba";-;-;1;14;39;26;8;1;-;-;-;-;-;89
"352320 Itararé";-;-;-;-;10;7;1;-;-;-;-;-;-;18
"352330 Itariri";-;-;1;-;-;-;3;-;-;-;-;-;-;4
"352340 Itatiba";-;2;1;2;12;10;-;1;-;2;-;3;2;35
"352360 Itirapina";-;1;3;4;17;5;1;-;-;-;-;-;-;31
"352380 Itobi";-;-;1;27;119;34;4;-;-;-;-;-;-;185
"352390 Itu";-;5;2;9;34;42;11;8;5;3;7;1;2;129
"352400 Itupeva";-;1;-;11;17;13;2;1;-;-;-;-;-;45
"352410 Ituverava";-;-;1;-;-;-;-;-;-;-;-;-;2;3
"352420 Jaborandi";-;-;1;-;-;-;1;-;-;-;-;1;-;3
"352430 Jaboticabal";-;1;1;1;18;15;10;3;-;-;-;2;1;52
"352440 Jacareí";-;3;2;6;35;56;28;13;3;1;5;2;4;158
"352450 Jaci";-;-;-;4;1;2;1;-;-;-;-;-;-;8
"352460 Jacupiranga";-;-;1;-;-;-;1;-;-;-;-;-;-;2
"352470 Jaguariúna";-;2;5;5;11;14;2;4;4;3;1;-;2;53
"352480 Jales";-;1;6;32;88;187;149;29;7;-;2;1;6;508
"352490 Jambeiro";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"352500 Jandira";-;-;5;44;159;54;11;6;1;2;-;3;5;290
"352510 Jardinópolis";-;42;95;157;367;367;96;24;3;1;1;1;3;1157
"352520 Jarinu";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"352530 Jaú";-;206;731;1420;1868;291;34;4;1;-;1;3;22;4581
"352550 Joanópolis";-;-;-;1;1;1;-;-;-;-;-;-;-;3
"352560 João Ramalho";-;-;-;-;-;1;-;-;-;-;-;4;2;7
"352570 José Bonifácio";-;1;3;12;55;81;28;17;4;2;4;1;2;210
"352580 Júlio Mesquita";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"352590 Jundiaí";-;-;4;38;140;108;31;12;-;1;-;1;2;337
"352600 Junqueirópolis";-;-;1;-;6;19;13;7;2;6;4;26;45;129
"352610 Juquiá";-;2;-;-;-;1;-;-;-;-;-;-;-;3
"352620 Juquitiba";-;-;1;-;1;1;-;1;-;-;-;-;-;4
"352630 Lagoinha";-;-;-;-;3;2;-;-;-;1;-;-;-;6
"352640 Laranjal Paulista";-;-;-;3;30;8;1;1;-;-;-;-;-;43
"352650 Lavínia";-;-;-;-;1;7;-;1;1;-;-;-;2;12
"352670 Leme";-;9;2;-;3;9;1;2;1;-;-;1;-;28
"352680 Lençóis Paulista";-;-;-;-;7;2;-;-;-;1;-;-;-;10
"352690 Limeira";-;2;5;42;188;178;62;28;15;39;12;22;76;669
"352710 Lins";-;4;5;23;62;69;29;9;5;1;1;3;13;224
"352720 Lorena";-;-;1;3;15;14;11;6;2;4;4;11;4;75
"352725 Lourdes";-;-;-;12;9;-;-;-;-;-;-;-;-;21
"352730 Louveira";-;1;1;5;37;23;3;1;-;-;1;2;-;74
"352740 Lucélia";-;-;1;1;6;12;5;2;-;-;-;-;-;27
"352760 Luís Antônio";-;1;-;-;-;4;-;-;-;1;-;-;-;6
"352770 Luiziânia";-;-;1;2;-;1;3;5;-;-;-;-;-;12
"352800 Macatuba";-;-;-;-;2;9;-;-;1;-;-;-;-;12
"352810 Macaubal";-;-;-;-;-;8;2;-;-;-;-;-;-;10
"352820 Macedônia";-;7;-;-;-;1;-;-;-;-;-;-;-;8
"352830 Magda";-;1;-;-;2;-;6;1;-;-;-;-;-;10
"352840 Mairinque";-;1;-;2;6;5;1;-;-;-;-;-;-;15
"352850 Mairiporã";-;232;930;1925;1328;215;8;3;1;1;-;1;9;4653
"352880 Maracaí";-;-;1;1;5;5;5;5;-;-;1;-;-;23
"352890 Mariápolis";-;-;1;-;-;25;10;-;-;-;-;-;-;36
"352900 Marília";-;10;13;60;246;384;162;132;64;66;190;330;119;1776
"352910 Marinópolis";-;-;-;-;1;2;1;-;-;-;-;1;-;5
"352920 Martinópolis";-;1;1;-;1;3;1;-;-;1;-;-;-;8
"352930 Matão";-;1;1;5;26;76;22;11;6;16;6;-;-;170
"352940 Mauá";-;-;-;1;5;2;-;-;-;-;-;-;-;8
"352950 Mendonça";-;4;9;2;3;-;-;-;-;-;-;1;1;20
"352960 Meridiano";-;-;-;5;12;2;-;-;-;-;-;-;-;19
"352965 Mesópolis";-;-;-;1;-;-;1;1;-;-;-;-;-;3
"352970 Miguelópolis";-;-;1;-;1;1;-;-;-;-;-;-;-;3
"352980 Mineiros do Tietê";-;-;1;41;82;22;3;-;-;1;-;-;-;150
"353000 Mira Estrela";-;-;-;-;4;6;1;1;-;-;-;-;-;12
"352990 Miracatu";-;-;2;-;-;6;4;-;-;1;-;-;-;13
"353010 Mirandópolis";-;2;8;22;18;27;6;1;1;-;1;1;5;92
"353020 Mirante do Paranapanema";-;2;12;1;3;3;1;-;-;-;3;-;-;25
"353030 Mirassol";-;3;2;4;7;8;4;1;3;1;-;-;2;35
"353040 Mirassolândia";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"353050 Mococa";-;2;-;20;78;51;24;25;4;2;29;74;67;376
"353060 Mogi das Cruzes";-;1;3;4;21;17;7;2;1;2;-;1;-;59
"353070 Mogi Guaçu";-;4;4;62;358;505;97;33;7;3;5;13;24;1115
"353080 Mogi Mirim";-;5;12;104;232;398;116;32;8;20;42;48;31;1048
"353100 Monções";-;2;1;1;1;1;-;-;-;-;-;-;-;6
"353110 Mongaguá";-;2;6;12;46;100;46;24;10;5;19;11;10;291
"353120 Monte Alegre do Sul";-;-;-;2;-;1;-;1;-;-;-;-;-;4
"353130 Monte Alto";-;1;2;-;8;1;5;-;-;-;-;-;-;17
"353140 Monte Aprazível";-;2;6;5;44;29;2;1;-;-;2;-;1;92
"353150 Monte Azul Paulista";-;-;-;-;4;14;4;2;2;-;-;-;-;26
"353160 Monte Castelo";-;-;-;2;-;4;-;-;-;-;-;-;-;6
"353180 Monte Mor";-;1;3;21;106;69;9;8;1;-;-;2;2;222
"353190 Morro Agudo";-;4;1;2;3;-;3;-;-;1;-;-;-;14
"353200 Morungaba";-;-;-;2;-;1;2;-;-;-;-;-;-;5
"353205 Motuca";-;-;-;1;3;22;12;1;-;-;-;-;-;39
"353210 Murutinga do Sul";-;-;-;-;1;1;1;-;-;-;1;1;-;5
"353215 Nantes";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"353220 Narandiba";-;-;-;-;1;9;6;1;-;-;1;-;-;18
"353230 Natividade da Serra";-;-;-;-;10;2;1;-;-;-;-;-;-;13
"353240 Nazaré Paulista";-;2;-;4;2;-;-;-;-;-;-;-;-;8
"353250 Neves Paulista";-;-;-;-;3;2;-;-;-;5;-;-;-;10
"353260 Nhandeara";-;-;1;29;31;16;4;-;2;-;-;1;-;84
"353270 Nipoã";-;-;-;-;-;1;-;-;-;-;-;1;-;2
"353282 Nova Campina";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"353286 Nova Castilho";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;5;3;1;-;-;-;-;-;-;9
"353320 Nova Independência";-;-;-;-;-;4;2;-;-;-;-;-;-;6
"353330 Nova Luzitânia";-;-;-;1;6;1;1;-;1;-;-;-;-;10
"353340 Nova Odessa";-;14;46;119;244;119;23;6;2;2;2;-;2;579
"353325 Novais";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"353350 Novo Horizonte";-;1;1;2;3;3;1;-;-;-;1;1;-;13
"353360 Nuporanga";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"353370 Ocauçu";-;-;-;-;1;3;1;-;-;-;-;-;-;5
"353390 Olímpia";-;4;7;12;38;49;11;8;5;-;1;2;3;140
"353410 Oriente";-;-;-;-;3;1;-;3;1;-;-;-;1;9
"353420 Orindiúva";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"353430 Orlândia";-;-;9;-;4;9;2;2;-;-;-;1;1;28
"353440 Osasco";-;25;189;1445;2497;785;166;22;9;8;3;5;6;5160
"353450 Oscar Bressane";-;-;-;-;3;-;-;1;-;-;-;8;1;13
"353460 Osvaldo Cruz";-;-;1;1;-;1;3;1;-;-;1;-;1;9
"353470 Ourinhos";-;1;2;15;44;65;22;10;3;-;3;13;13;191
"353480 Ouro Verde";-;-;-;-;4;18;4;1;-;-;-;-;-;27
"353475 Ouroeste";-;-;-;-;5;18;3;1;2;3;1;-;-;33
"353490 Pacaembu";-;-;-;-;-;2;8;2;1;-;-;1;-;14
"353500 Palestina";-;-;2;-;-;-;-;1;-;-;1;-;1;5
"353510 Palmares Paulista";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"353520 Palmeira d'Oeste";-;-;1;1;13;23;5;1;-;-;-;-;-;44
"353530 Palmital";-;-;1;10;27;24;4;-;-;1;1;1;-;69
"353540 Panorama";-;-;-;-;-;-;-;-;-;1;-;5;3;9
"353550 Paraguaçu Paulista";-;8;-;8;4;22;12;11;2;3;4;6;72;152
"353570 Paraíso";-;-;-;-;-;2;-;-;1;-;-;-;-;3
"353590 Paranapuã";-;-;-;3;4;4;3;4;-;1;1;-;-;20
"353600 Parapuã";-;-;-;-;8;16;9;1;-;-;-;-;-;34
"353620 Pariquera-Açu";-;-;3;-;4;2;2;1;-;-;1;-;2;15
"353625 Parisi";-;-;4;25;55;34;1;-;-;-;-;-;2;121
"353640 Paulicéia";-;-;-;-;3;1;-;-;-;-;-;-;-;4
"353650 Paulínia";-;7;41;120;380;228;71;19;6;7;1;2;4;886
"353660 Paulo de Faria";-;-;-;-;1;2;-;1;-;-;-;-;-;4
"353670 Pederneiras";-;-;-;1;21;12;14;7;5;2;-;-;-;62
"353690 Pedranópolis";-;1;4;1;-;-;-;-;6;1;-;1;-;14
"353710 Pedreira";-;10;56;352;577;44;14;1;-;1;1;-;-;1056
"353715 Pedrinhas Paulista";-;-;-;1;-;4;1;-;-;-;-;-;1;7
"353720 Pedro de Toledo";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"353730 Penápolis";-;9;-;13;52;39;11;5;9;18;8;29;81;274
"353740 Pereira Barreto";-;-;2;-;2;11;4;3;-;3;-;-;-;25
"353750 Pereiras";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"353760 Peruíbe";-;5;3;7;26;54;16;5;2;3;14;31;26;192
"353770 Piacatu";-;-;-;1;20;26;2;-;-;-;-;-;-;49
"353780 Piedade";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"353790 Pilar do Sul";-;-;-;-;1;-;-;-;-;-;-;-;1;2
"353800 Pindamonhangaba";-;16;52;218;1316;1065;168;34;6;5;-;2;5;2887
"353810 Pindorama";-;-;1;-;-;-;-;-;-;-;-;1;1;3
"353820 Pinhalzinho";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"353860 Piracaia";-;-;-;1;4;6;1;-;-;-;-;-;-;12
"353870 Piracicaba";-;7;23;130;313;355;97;13;2;2;3;2;9;956
"353880 Piraju";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"353890 Pirajuí";-;-;1;-;1;7;-;-;-;-;-;-;1;10
"353900 Pirangi";-;-;1;2;4;11;2;3;2;-;-;-;1;26
"353910 Pirapora do Bom Jesus";-;-;-;-;13;27;5;1;-;1;1;1;-;49
"353920 Pirapozinho";-;-;-;-;4;6;2;3;1;-;1;-;-;17
"353930 Pirassununga";-;1;-;1;15;18;15;4;2;-;2;14;12;84
"353950 Pitangueiras";-;-;-;-;8;25;4;3;-;-;-;-;-;40
"353960 Planalto";-;-;-;-;3;5;20;3;-;-;-;2;-;33
"353970 Platina";-;1;-;-;-;-;-;-;-;-;-;-;1;2
"353980 Poá";-;-;-;1;6;4;-;2;-;1;-;1;-;15
"353990 Poloni";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"354000 Pompéia";-;-;-;-;4;3;1;-;-;-;1;-;20;29
"354020 Pontal";-;5;11;17;31;30;9;4;2;-;-;-;-;109
"354025 Pontalinda";-;-;-;-;-;3;1;-;-;-;-;1;-;5
"354030 Pontes Gestal";-;1;1;-;-;6;4;2;-;-;-;1;1;16
"354040 Populina";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"354050 Porangaba";-;-;-;-;9;6;-;-;-;-;-;-;-;15
"354060 Porto Feliz";-;-;1;5;32;30;14;8;-;-;-;-;-;90
"354070 Porto Ferreira";-;28;1;3;42;80;37;15;5;4;36;131;275;657
"354075 Potim";-;-;-;1;4;26;13;4;-;-;3;4;5;60
"354080 Potirendaba";-;-;-;-;8;7;10;5;1;-;1;-;1;33
"354090 Pradópolis";-;-;-;-;-;-;1;-;-;-;-;1;1;3
"354100 Praia Grande";-;5;8;21;55;71;25;10;2;1;3;5;3;209
"354105 Pratânia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"354110 Presidente Alves";-;-;-;-;2;1;-;-;-;-;-;-;-;3
"354120 Presidente Bernardes";-;-;1;-;-;-;1;-;4;3;2;-;-;11
"354130 Presidente Epitácio";-;4;2;14;17;18;2;1;-;-;2;-;-;60
"354140 Presidente Prudente";-;14;12;32;73;49;23;12;4;3;4;8;7;241
"354150 Presidente Venceslau";-;1;1;6;4;6;-;1;-;1;-;-;-;20
"354160 Promissão";-;-;2;31;232;182;25;10;2;2;-;9;6;501
"354170 Quatá";-;1;-;-;5;1;-;1;-;-;1;-;1;10
"354180 Queiroz";-;-;-;-;1;6;-;-;-;-;-;-;-;7
"354190 Queluz";-;1;-;1;1;-;-;-;-;-;-;-;1;4
"354200 Quintana";-;-;-;-;-;-;1;-;-;-;-;-;2;3
"354210 Rafard";-;-;-;-;5;2;3;-;-;-;-;-;-;10
"354220 Rancharia";-;4;1;31;10;19;3;4;-;-;2;1;-;75
"354230 Redenção da Serra";-;-;-;-;10;15;2;-;-;-;-;-;-;27
"354240 Regente Feijó";-;-;-;3;-;3;-;-;-;-;-;-;-;6
"354260 Registro";-;-;1;1;6;8;3;-;-;-;-;-;-;19
"354290 Ribeirão Bonito";-;-;5;67;91;1;1;-;-;1;-;2;1;169
"354300 Ribeirão Branco";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"354310 Ribeirão Corrente";-;-;25;-;-;-;-;-;-;-;-;-;2;27
"354320 Ribeirão do Sul";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"354323 Ribeirão dos Índios";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"354330 Ribeirão Pires";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"354340 Ribeirão Preto";-;11;54;64;104;87;43;35;19;13;11;10;5;456
"354360 Rifaina";-;-;-;-;-;-;-;-;-;8;8;13;14;43
"354370 Rincão";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"354380 Rinópolis";-;-;-;-;1;4;1;1;-;-;1;-;-;8
"354390 Rio Claro";-;18;14;36;213;198;57;26;6;13;10;25;90;706
"354400 Rio das Pedras";-;-;1;-;5;-;1;-;-;-;-;-;2;9
"354410 Rio Grande da Serra";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"354420 Riolândia";-;1;1;2;5;14;12;1;-;-;-;-;-;36
"354425 Rosana";-;7;14;103;183;234;107;40;8;3;5;12;31;747
"354430 Roseira";-;-;-;-;3;2;3;1;-;-;-;-;1;10
"354440 Rubiácea";-;-;-;1;1;1;2;-;-;-;-;-;1;6
"354450 Rubinéia";-;-;1;1;-;3;1;8;6;1;6;6;34;67
"354470 Sagres";-;-;-;-;1;1;-;1;-;-;-;-;-;3
"354480 Sales";-;-;-;-;-;-;-;-;-;-;-;2;11;13
"354490 Sales Oliveira";-;-;3;11;31;9;1;-;-;-;-;2;-;57
"354510 Salmourão";-;5;8;-;-;4;-;-;-;-;-;-;2;19
"354515 Saltinho";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"354520 Salto";-;-;1;5;42;69;11;5;-;1;2;1;-;137
"354530 Salto de Pirapora";-;1;-;-;-;1;-;-;-;-;-;1;3;6
"354540 Salto Grande";-;-;-;-;2;1;-;-;-;-;-;-;-;3
"354550 Sandovalina";-;-;-;5;3;2;-;-;-;-;-;-;-;10
"354560 Santa Adélia";-;-;-;-;-;1;-;1;-;-;-;2;3;7
"354570 Santa Albertina";-;1;-;-;1;1;-;2;-;-;-;-;-;5
"354580 Santa Bárbara d'Oeste";-;202;598;927;911;359;96;11;5;4;3;6;12;3134
"354600 Santa Branca";-;-;-;-;1;2;-;-;-;-;-;-;-;3
"354610 Santa Clara d'Oeste";-;-;-;-;-;2;-;1;3;-;-;1;1;8
"354620 Santa Cruz da Conceição";-;-;-;-;7;4;-;-;-;-;-;-;-;11
"354630 Santa Cruz das Palmeiras";-;4;3;5;13;9;3;-;-;-;-;-;-;37
"354640 Santa Cruz do Rio Pardo";-;-;-;11;20;18;7;-;1;-;1;1;-;59
"354650 Santa Ernestina";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;5;2;4;15;25;12;19;10;6;5;4;13;120
"354670 Santa Gertrudes";-;2;-;11;18;12;1;-;-;-;1;1;-;46
"354680 Santa Isabel";-;-;1;1;23;21;2;3;-;-;-;1;-;52
"354690 Santa Lúcia";-;-;-;1;1;6;2;1;-;3;-;-;-;14
"354700 Santa Maria da Serra";-;-;-;-;19;14;6;1;-;1;-;-;-;41
"354710 Santa Mercedes";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"354740 Santa Rita d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"354750 Santa Rita do Passa Quatro";-;-;-;7;17;16;6;4;-;2;1;-;-;53
"354760 Santa Rosa de Viterbo";-;-;-;3;4;5;5;6;2;-;-;-;-;25
"354765 Santa Salete";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"354720 Santana da Ponte Pensa";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"354730 Santana de Parnaíba";-;-;2;12;80;62;14;3;3;1;-;-;-;177
"354770 Santo Anastácio";-;1;2;-;1;5;2;-;1;2;3;1;1;19
"354780 Santo André";-;2;5;45;111;68;14;3;2;1;2;1;-;254
"354790 Santo Antônio da Alegria";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"354800 Santo Antônio de Posse";-;-;5;58;148;117;31;11;1;1;11;6;6;395
"354805 Santo Antônio do Aracanguá";-;-;8;60;19;-;-;-;-;-;-;-;1;88
"354840 Santópolis do Aguapeí";-;-;-;-;6;2;-;1;-;-;-;-;-;9
"354850 Santos";-;16;18;90;306;1267;487;42;11;18;16;10;14;2295
"354860 São Bento do Sapucaí";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"354870 São Bernardo do Campo";-;2;2;71;260;130;27;12;2;-;4;2;-;512
"354880 São Caetano do Sul";-;-;1;4;14;11;3;1;1;-;-;-;-;35
"354890 São Carlos";-;-;5;69;72;87;31;11;3;2;1;3;2;286
"354900 São Francisco";-;-;1;2;2;2;-;-;-;-;-;-;-;7
"354910 São João da Boa Vista";-;2;7;68;178;201;63;13;3;1;2;2;3;543
"354930 São João do Pau d'Alho";-;-;-;-;1;2;-;-;-;-;-;-;1;4
"354940 São Joaquim da Barra";-;1;1;13;40;25;7;-;2;-;-;-;1;90
"354960 São José do Barreiro";-;-;-;-;-;-;2;6;-;-;-;-;-;8
"354970 São José do Rio Pardo";-;3;3;3;14;11;2;1;-;-;-;-;-;37
"354980 São José do Rio Preto";-;25;36;60;132;156;159;120;65;104;161;99;167;1284
"354990 São José dos Campos";-;20;32;84;174;173;85;23;21;24;20;22;12;690
"354995 São Lourenço da Serra";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"355000 São Luís do Paraitinga";-;-;-;-;4;2;-;-;-;-;-;-;-;6
"355010 São Manuel";-;-;-;-;1;3;1;-;-;-;-;1;-;6
"355020 São Miguel Arcanjo";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"355030 São Paulo";-;152;723;4787;14334;7685;1463;364;78;77;52;60;50;29825
"355040 São Pedro";-;2;3;47;443;411;58;7;4;1;5;-;-;981
"355050 São Pedro do Turvo";-;-;-;-;-;1;-;-;-;-;-;2;-;3
"355060 São Roque";-;-;1;28;18;17;4;-;-;-;-;1;-;69
"355070 São Sebastião";-;5;8;179;491;498;135;130;53;5;6;4;14;1528
"355080 São Sebastião da Grama";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"355100 São Vicente";-;3;8;16;30;90;48;14;4;4;3;7;4;231
"355110 Sarapuí";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"355130 Sebastianópolis do Sul";-;-;-;-;1;1;-;-;-;-;1;-;-;3
"355140 Serra Azul";-;-;1;-;1;-;-;1;-;-;-;1;-;4
"355160 Serra Negra";-;1;-;-;12;10;-;-;1;-;-;-;-;24
"355150 Serrana";-;1;-;5;18;9;-;2;3;-;1;-;1;40
"355170 Sertãozinho";-;32;21;31;41;51;13;-;-;-;2;1;2;194
"355180 Sete Barras";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"355190 Severínia";-;-;1;-;2;4;1;-;-;-;5;10;5;28
"355210 Socorro";-;-;-;1;1;1;-;-;-;1;-;-;-;4
"355220 Sorocaba";-;15;11;28;97;65;26;12;2;2;15;13;84;370
"355230 Sud Mennucci";-;-;-;-;3;3;4;-;-;-;-;-;-;10
"355240 Sumaré";-;113;388;842;1174;608;182;56;9;16;19;37;63;3507
"355255 Suzanápolis";-;-;-;-;1;13;14;5;3;3;4;1;4;48
"355250 Suzano";-;1;1;-;6;6;3;-;-;-;1;-;-;18
"355260 Tabapuã";-;-;-;1;2;1;-;1;-;-;1;-;2;8
"355270 Tabatinga";-;-;-;-;-;3;-;-;-;-;-;-;-;3
"355280 Taboão da Serra";-;1;9;101;440;360;35;9;2;1;-;-;-;958
"355290 Taciba";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"355310 Taiaçu";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"355330 Tambaú";-;1;-;19;82;127;27;13;1;1;1;-;1;273
"355340 Tanabi";-;1;-;7;25;50;15;8;4;6;15;15;31;177
"355360 Tapiratiba";-;-;-;-;1;1;1;1;-;-;-;-;-;4
"355365 Taquaral";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"355370 Taquaritinga";-;13;30;16;16;31;4;1;-;-;-;-;-;111
"355390 Tarabai";-;-;-;-;1;4;4;2;-;-;-;-;-;11
"355395 Tarumã";-;8;-;2;5;20;3;-;-;6;14;16;41;115
"355400 Tatuí";-;-;1;2;4;11;7;1;-;-;-;-;-;26
"355410 Taubaté";-;128;542;1792;3863;2605;780;123;16;18;26;26;21;9940
"355420 Tejupá";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"355430 Teodoro Sampaio";-;-;-;1;8;5;2;-;-;-;2;1;-;19
"355440 Terra Roxa";-;-;-;-;1;3;-;-;-;-;-;-;-;4
"355450 Tietê";-;-;-;-;2;8;-;1;-;-;-;-;-;11
"355470 Torrinha";-;-;-;-;16;3;-;-;-;-;-;-;-;19
"355475 Trabiju";-;-;12;14;5;-;-;-;-;-;-;-;28;59
